,settings,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136
time_to_calculate_at,,2019-08-15 12:18:10+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
basal_rate_start_times,,00:00:00,05:30:00,12:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
basal_rate_minutes,,330.0,420.0,750.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
basal_rate_values,,0.65,0.9,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
basal_rate_units,,U/hr,U/hr,U/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
carb_dates,,2019-08-15 12:10:48+00:00,2019-08-15 12:11:06+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
carb_values,,10.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
carb_absorption_times,,120.0,240.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
carb_value_units,,g,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
carb_ratio_start_times,,00:00:00,11:30:00,17:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
carb_ratio_values,,15.0,10.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
carb_ratio_value_units,,g/U,g/U,g/U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dose_types,,DoseType.bolus,DoseType.bolus,DoseType.basal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dose_start_times,,2019-08-15 12:11:00+00:00,2019-08-15 12:11:13+00:00,2019-08-15 12:13:10+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dose_end_times,,2019-08-15 12:11:36+00:00,2019-08-15 12:13:13+00:00,2019-08-15 12:18:10+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dose_values,,0.9,3.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dose_value_units,,U or U/hr,U or U/hr,U or U/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
last_temporary_basal,,DoseType.basal,2019-08-15 12:18:10+00:00,2019-08-15 12:48:10+00:00,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sensitivity_ratio_start_times,,00:00:00,10:30:00,18:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sensitivity_ratio_end_times,,10:30:00,18:00:00,00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sensitivity_ratio_values,,50.0,40.0,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sensitivity_ratio_value_units,,mg/dL/U,mg/dL/U,mg/dL/U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
target_range_start_times,,00:00:00,13:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
target_range_end_times,,13:30:00,00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
target_range_minimum_values,,85.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
target_range_maximum_values,,85.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
target_range_value_units,,mg/dL,mg/dL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glucose_dates,,2019-08-15 00:08:47+00:00,2019-08-15 00:13:47+00:00,2019-08-15 00:18:47+00:00,2019-08-15 00:23:47+00:00,2019-08-15 00:28:47+00:00,2019-08-15 00:33:47+00:00,2019-08-15 00:38:47+00:00,2019-08-15 00:43:47+00:00,2019-08-15 00:48:47+00:00,2019-08-15 00:53:47+00:00,2019-08-15 00:58:47+00:00,2019-08-15 01:03:47+00:00,2019-08-15 01:08:47+00:00,2019-08-15 01:13:47+00:00,2019-08-15 01:18:47+00:00,2019-08-15 01:23:47+00:00,2019-08-15 01:28:47+00:00,2019-08-15 01:33:47+00:00,2019-08-15 01:38:47+00:00,2019-08-15 01:43:47+00:00,2019-08-15 01:48:47+00:00,2019-08-15 01:53:47+00:00,2019-08-15 01:58:47+00:00,2019-08-15 02:08:47+00:00,2019-08-15 02:13:47+00:00,2019-08-15 02:18:47+00:00,2019-08-15 02:23:47+00:00,2019-08-15 02:28:47+00:00,2019-08-15 02:33:47+00:00,2019-08-15 02:38:47+00:00,2019-08-15 02:43:47+00:00,2019-08-15 02:53:47+00:00,2019-08-15 02:58:47+00:00,2019-08-15 03:03:47+00:00,2019-08-15 03:13:47+00:00,2019-08-15 03:18:47+00:00,2019-08-15 03:23:47+00:00,2019-08-15 03:28:47+00:00,2019-08-15 03:33:47+00:00,2019-08-15 03:38:47+00:00,2019-08-15 03:43:47+00:00,2019-08-15 03:48:47+00:00,2019-08-15 03:58:47+00:00,2019-08-15 04:03:47+00:00,2019-08-15 04:08:47+00:00,2019-08-15 04:18:47+00:00,2019-08-15 04:23:47+00:00,2019-08-15 04:33:47+00:00,2019-08-15 04:38:47+00:00,2019-08-15 04:43:47+00:00,2019-08-15 04:48:47+00:00,2019-08-15 04:53:47+00:00,2019-08-15 04:58:47+00:00,2019-08-15 05:03:47+00:00,2019-08-15 05:08:47+00:00,2019-08-15 05:13:47+00:00,2019-08-15 05:18:47+00:00,2019-08-15 05:23:47+00:00,2019-08-15 05:28:47+00:00,2019-08-15 05:33:47+00:00,2019-08-15 05:38:47+00:00,2019-08-15 05:43:47+00:00,2019-08-15 05:48:47+00:00,2019-08-15 05:53:47+00:00,2019-08-15 05:58:47+00:00,2019-08-15 06:03:47+00:00,2019-08-15 06:08:47+00:00,2019-08-15 06:13:47+00:00,2019-08-15 06:18:47+00:00,2019-08-15 06:23:47+00:00,2019-08-15 06:28:47+00:00,2019-08-15 06:33:47+00:00,2019-08-15 06:38:47+00:00,2019-08-15 06:43:47+00:00,2019-08-15 06:48:47+00:00,2019-08-15 06:53:47+00:00,2019-08-15 06:58:47+00:00,2019-08-15 07:03:47+00:00,2019-08-15 07:08:47+00:00,2019-08-15 07:13:47+00:00,2019-08-15 07:18:47+00:00,2019-08-15 07:23:47+00:00,2019-08-15 07:28:47+00:00,2019-08-15 07:33:47+00:00,2019-08-15 07:38:47+00:00,2019-08-15 07:43:47+00:00,2019-08-15 07:48:47+00:00,2019-08-15 07:53:47+00:00,2019-08-15 07:58:47+00:00,2019-08-15 08:03:47+00:00,2019-08-15 08:08:47+00:00,2019-08-15 08:18:47+00:00,2019-08-15 08:23:47+00:00,2019-08-15 08:28:47+00:00,2019-08-15 08:38:47+00:00,2019-08-15 08:43:47+00:00,2019-08-15 08:48:47+00:00,2019-08-15 08:53:47+00:00,2019-08-15 08:58:47+00:00,2019-08-15 09:03:47+00:00,2019-08-15 09:08:47+00:00,2019-08-15 09:13:47+00:00,2019-08-15 09:18:47+00:00,2019-08-15 09:23:47+00:00,2019-08-15 09:28:47+00:00,2019-08-15 09:33:47+00:00,2019-08-15 09:38:47+00:00,2019-08-15 09:43:47+00:00,2019-08-15 09:48:47+00:00,2019-08-15 09:53:47+00:00,2019-08-15 09:58:47+00:00,2019-08-15 10:03:47+00:00,2019-08-15 10:08:47+00:00,2019-08-15 10:13:47+00:00,2019-08-15 10:18:47+00:00,2019-08-15 10:23:47+00:00,2019-08-15 10:28:47+00:00,2019-08-15 10:33:47+00:00,2019-08-15 10:38:47+00:00,2019-08-15 10:43:47+00:00,2019-08-15 10:48:47+00:00,2019-08-15 10:53:47+00:00,2019-08-15 11:03:47+00:00,2019-08-15 11:08:47+00:00,2019-08-15 11:13:47+00:00,2019-08-15 11:18:47+00:00,2019-08-15 11:23:47+00:00,2019-08-15 11:28:47+00:00,2019-08-15 11:33:47+00:00,2019-08-15 11:38:47+00:00,2019-08-15 11:43:47+00:00,2019-08-15 11:48:47+00:00,2019-08-15 11:53:47+00:00,2019-08-15 11:58:47+00:00,2019-08-15 12:03:47+00:00,2019-08-15 12:08:47+00:00,2019-08-15 12:18:10+00:00
glucose_values,,86.561,90.38,91.5203,96.0504,93.9358,97.3565,95.398,99.9806,101.97,101.333,105.383,103.651,103.184,108.135,102.973,104.152,108.022,100.275,104.616,108.176,104.277,101.201,106.401,100.094,104.843,105.301,98.9038,96.2839,100.686,95.9994,93.3707,90.6045,91.5392,94.6185,87.4393,85.9808,85.1751,81.0649,81.6274,85.824,84.526,80.125,83.3269,80.3632,81.5887,72.5848,73.9989,73.0013,72.7975,78.2258,75.5918,75.9289,71.2622,74.7621,77.0153,76.3293,73.8527,74.8048,76.4785,84.6368,82.3108,81.5135,83.0178,85.1072,84.2019,91.5605,91.5211,87.1748,97.0345,93.9077,94.3633,99.6774,101.113,102.501,100.178,105.353,104.275,102.94,99.4988,100.001,101.558,104.916,101.635,108.661,101.242,107.777,105.09,111.882,103.35,101.932,98.1482,105.025,104.892,97.213,96.6744,100.118,98.4169,98.001,93.0471,90.2151,85.9828,86.4009,88.1875,87.167,83.2709,81.1046,83.8334,81.7265,82.9391,80.0671,75.5547,74.1087,81.5409,74.8046,70.9656,80.3442,76.2046,74.1899,71.8653,78.9355,78.5795,80.2194,76.9965,79.9779,75.8344,78.9377,75.9881,82.5803,80.7108,86.2666,82.4767,84.1572,83.7794,88.5364,93.6497,93.7872,89.9028
glucose_units,,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL
